cycle,Tube1,Tube2,Tube3,Tube4
1,270781,151599,175915,230446
2,270781,151599,175915,230446
3,266156,149598,149097,194295
4,274795.5,166817,171463,221781
5,283435,184036,193829,249267
6,268842,165908,187055,228358
7,272604,176664,178045,215678
8,276162,170404,178916,222198
9,271512,166330.5,163702,210752.5
10,266862,162257,148488,199307
11,257714,148243,146352,187220
12,277531,187288,192593,246362
13,269169,166423,175379,214008
14,276647,195623,189368,241578
15,262917,162998,169623,219717
16,273223,182098,181407,223947
17,268298,166875,156347,209355
18,268276.5,169632,150660,208500.5
19,268255,172389,144973,207646
20,280985,181597,169070,226105
21,262226,159547,143965,188426
22,295927,217899,171639,226215
23,310248,241635,179119,226520
24,324190,293274,198656,255762
25,326639,310772,191329,253581
26,327533,318628,203065,272709
27,327668,327081,252700,315476
28,327670,327446,281126,324796
29,327670,327158,281105,307669
30,327670,327670,316436,327511
31,327670,327048,304866,319970
32,327543,326094,299800,323885
33,327670,327216,307093,324448
34,327670,327650,321370,327439
35,327779,327641,318568,327123
36,327670,327670,327613,327670
37,327670,327669,320624,326736
38,327796,327669,326580,327665
39,327796,327669.5,325885.5,327666.5
40,327796,327670,325191,327668
